device_id,phone_brand,device_model
4303468262303873643,小米,MI 3
-3198511914546021507,OPPO,A11
-7195907957521509492,OPPO,Find 5
4804744196800752245,華為,榮耀暢玩4X
2527498653841788437,小米,MI 2S
7407342705734033772,小米,MI 2S
356961010933296739,酷派,5216s
7940363093768010617,華為,Ascend P6
7261007317520923482,三星,Galaxy Grand DUOS
-1025284795963440768,三星,Galaxy Note 2
6666299284550885153,華為,榮耀7
-6803990194804736810,三星,Galaxy Note 2
1393817315612691787,聯想,樂檬K3 Note
2365391273254212424,小米,紅米note
-8194457935539836725,三星,Galaxy Note 2
-7445915536360978858,華為,G520-5000
-4633092175790557823,華為,G6-C00
-6497166883252434409,華為,G510
4338245328280564578,三星,Galaxy S3
7102818890309647918,華為,榮耀6 Plus
7238481770938245798,華為,榮耀暢玩4X
-8003175198213999839,金立,V182
-1729267275950177135,HTC,802w
7866947605228202260,聯想,S960
5838693926653216553,HTC,T528t
-5523016269228114848,vivo,X5M
9082458259120998685,三星,Galaxy Note 2
-4008854223945668262,三星,Galaxy Win
-1309021727825404503,三星,Galaxy S4
-6954227720228105166,小米,MI 2S
-2259098316749479826,三星,Galaxy Trend DUOS
3167911474903324446,小米,MI 2A
-2358816053157992370,小米,MI 2S
-3497915159928323152,小米,MI 2S
-2055599120381159331,小米,MI 2
452997462227721436,華為,榮耀暢玩5
5849468124633108515,酷比,S3
7715858745863357854,三星,Galaxy Note 3
1020152578803202339,小米,MI 2A
-3225401427091042493,華為,G610T
2526886856942563948,三星,Galaxy S4
-5926490704406813688,小米,紅米
6483187242851953963,三星,Galaxy S4
-8204309136689441787,聯想,A660
7014909564863395613,魅族,MX3
8044811023808049290,小米,MI 2S
-5300669591493943304,小米,MI One Plus
6236177720157849325,三星,Galaxy S4
-7548242117166665509,聯想,A850
-2963641970844005929,酷派,鋒尚2
6672489538587578372,小米,MI 2S
-9200021685010297824,酷派,5891
-4421611970072860526,小米,MI 2S
1134074080628032932,vivo,Xplay
-2565765476126156797,魅族,MX2
539875305362835922,三星,Galaxy Grand
8490622669015199443,華為,榮耀6
-5869044911338673581,三星,Galaxy Note 2
2764278374720600267,小米,MI 2S
9189682376009199991,三星,Galaxy Grand
-985124462268645910,三星,Galaxy Win
2951841912442360604,聯想,樂檬K3 Note
6037556077928764625,華為,Ascend G700T
3313279208486773902,小米,MI 2A
3684688455282521174,聯想,A820
6650366596275551975,三星,Galaxy S4
4990373083645647150,三星,Galaxy Note 3
-8538493525853351240,小米,MI 2C
-4773317745083695684,OPPO,1107
3658577894176772934,小米,MI 2S
3569480337080340886,小米,MI 2S
-444331463340786968,vivo,X3T
3066050409229204891,三星,Galaxy S4
-9042313259790278748,魅族,MX3
-3229924789707058343,三星,Galaxy Note 2
-3702838092903269513,魅族,魅藍Note 2
972139879351033069,小米,MI 2S
5079090672374721125,華為,G520-0000
4371006884264158307,小米,MI 2S
4520711975913453554,小米,紅米
-587725870499570281,OPPO,N1 Mini
7657865859967348395,三星,Galaxy S3
-3811631448239142358,三星,Galaxy Note 3
-7695822790659721236,小米,MI 2S
3244903854077187720,OPPO,R833T
3327093334048632924,小米,MI 2S
4265018337056389440,vivo,Y15
3441383103888306293,HTC,802w
-5241773386618458779,小米,MI 2A
504874692079612905,小米,紅米Note2
-6267194322446053619,vivo,X6 D
8175051940264186174,小米,紅米note
2081076540513925072,三星,Galaxy S4
4072804797843084687,小米,MI 2S
6898330638373807439,索尼,Xperia Z
-2344682270212306819,vivo,X5Max+
5951241348350205020,索尼,Xperia Z
-9037216501216518301,vivo,Y27
-6993286388462967073,三星,Galaxy Note 2
2426888081703001611,小米,紅米
9072907136437517311,三星,Galaxy Note 2
159686557319067130,華為,Mate
2481103578971984279,三星,Galaxy Note 2
8980014395514529615,LG,Nexus 4
-523753398484105208,華為,C8813Q
8331979216659466692,魅族,MX3
2651020249178207942,華為,Ascend G700
-4678450508030181918,小米,MI 2S
7606747459797497809,華為,G610T
-4143460438226715566,魅族,MX3
-1893198698983701442,華為,B199
1826639894106713625,康佳,V987
2456892379337938094,華為,Y560-CL00
1269799906493286011,三星,Galaxy S3
6561699997782902383,聯想,S890
5114544196329220218,三星,Galaxy S4
482122456777921835,金立,GN151
-588530661855223814,奇酷,旗艦版
-5064840220634850214,華為,Ascend P6
8427733563418409246,小米,MI 1S
-6382823648339182480,小米,MI 3
2747826530234514872,小米,MI 3
3894560916048775803,小米,紅米
-5358890273110512386,歐博信,IVO 6622
596576919413234122,vivo,Y17T
-2798115985237334109,三星,Galaxy Mega 5.8
5985028401569381903,三星,Galaxy S4
-4608049239770209421,vivo,S7I
-6321718900442134151,酷派,7235
-2225847465433663384,華為,C8816
-8593987297699439493,三星,Galaxy Note 3
-5075081456116376276,vivo,Xshot
3171491697322263720,三星,Galaxy Note 3
-1491127785348831674,小米,MI 2
8104063344230767442,酷派,8085
5026000636426893545,三星,Galaxy S3
-342749323542488065,華為,G510
-5693837402894793382,華為,G730-T00
1674483055723636690,小米,MI 2
9143891207835857702,小米,MI 2S
-4120883610929992607,小米,紅米
8422043001977804630,小米,MI 2
6334304516724864325,魅族,MX2
-1951305415098690017,vivo,Xplay
1323745293769402202,三星,Galaxy S2
5556173572327134621,小米,MI 3
-3790866927410308757,酷派,7296
3912323251172869453,三星,Galaxy Premier
2432057835460032289,歐比,V10
-6199709906927947436,小米,MI 2S
8947983147123107689,HTC,One X
7041398722782024994,小米,MI 2S
6570748801194581087,三星,Galaxy Note 3
-2738837893158001554,聯想,A830
6688146451113871536,小米,MI One Plus
-660387121113799499,三星,Galaxy Note 3
-31463043857148646,小米,紅米note
-4873037713376707148,索尼,Xperia Z Ultra
-7820497099518633314,華為,榮耀暢玩4X
411434502249029265,三星,Galaxy S3
589878547489397439,OPPO,R815T
4376893918699829331,三星,Galaxy Note 3
3766949168459552765,OPPO,U705T
4632864621211795847,vivo,X3T
8801111329678712922,華為,Ascend G700
2923138420415465472,三星,Galaxy Note 2
-7716349026894349496,TCL,麼麼噠
808901901795544336,三星,Galaxy S4
72797582178998569,三星,Galaxy Note 2
-4362305766861552901,三星,Galaxy S4
-5776225923576225190,三星,Galaxy Note 3
3006238776216252434,小米,MI 2
3492647245148953338,三星,Galaxy S4
-5093928080722296113,小米,MI 2S
1984583948128635943,聯想,A830
-2506533926318013766,三星,Galaxy S4
-6608772902775264849,三星,Galaxy S4
8706985476156491364,華為,Ascend P6
8987038810049884091,小米,MI 2S
5624628068110517126,小米,MI 3
-4283672845146671561,小米,紅米note
6529503111228723634,華為,G716
889613080238683393,三星,Galaxy S5
4500142684421955961,酷派,大神F2
5910530113998126644,三星,Galaxy Note 2
4171103868476071174,愛派爾,iPh-800
8898479351413322765,HTC,One
-1381583053559916962,華為,榮耀3X暢玩版
-4652011389239590139,小米,MI 2S
2912341372209050601,三星,Galaxy Grand DUOS
-2013621071431164918,三星,Galaxy Note 3
-913997690588491363,三星,Galaxy Note 3
-3185442229617570350,三星,Galaxy S4
3514436179471877039,小米,MI 2S
8541615444974936474,華為,榮耀6
4038073925690069542,小米,MI 3
5539000532445278442,華為,G610S
-2185642825764603423,三星,Galaxy Win Pro
-9079342812768398424,魅族,MX2
-2200565502778993903,小米,MI 2A
-687108386265918661,小米,MI 2S
8352049155391215393,華為,MT2-C00
-1973965770209939295,OPPO,R7
-1020492725941614910,小米,MI 2S
7802854211346047186,華為,G610S
4756071250979937377,聯想,S920
-7380248691354556178,OPPO,1105
-4932625531277503048,小米,MI 1S
-7125295786558921645,三星,Galaxy Mega 5.8
296386716872195898,三星,Galaxy Mega 6.3
4378598415671089718,酷派,7295+
-6450682188526629168,華為,G620-L75
8801626302686067806,小米,MI One Plus
-7061168232578650443,HTC,Desire 610t
-9043610260446909386,三星,Galaxy S4
-4402382651699156381,三星,Galaxy Note 2
747892463849394184,酷派,7269
2076344785244382154,三星,Galaxy S4
5245440701051745708,三星,Galaxy Win Pro
-4445769912992236259,酷派,8198T
-2506093401230353546,三星,Galaxy S3
1556140022926234547,小米,紅米
-4490457559861910569,華為,Mate
2072075618544780073,索尼,Xperia Z1
-6998194733836299772,華為,G610S
-417918773361216111,華為,Ascend P6
-2955902951736674152,酷派,大神1s
4754537897862981779,小米,MI 1S
6462230981489102021,華為,榮耀3C
7298735323983987835,OPPO,R807
-1907921814178974228,小米,MI 2
2063634524101438698,努比亞,Z5S
-940149735537857806,華為,榮耀3X暢玩版
8848826597816565253,小米,MI 2A
6068767536186235007,酷派,7295
-7910175888938174653,酷派,7620l
-3372266826626142241,三星,Galaxy S3
2070658868803856218,三星,Galaxy Note 2
-1505274449302012399,中興,Grand S 2
-674398780003592777,聯想,A850
2565823802712424086,小米,MI 2S
5001552037973543798,小米,MI 3
556925098589606951,三星,Galaxy S4
2144717516531947372,三星,Galaxy Grand DUOS
6371372006138449465,vivo,Y20T
-3825340422815111536,小米,MI 2A
-1524834375073489863,酷派,5950
4474362711992311884,酷派,7270
-5168596823087637240,三星,Galaxy Note 3
-237656175599040261,三星,Galaxy Note 2
-8021599568448339440,小米,MI 2S
-4980856059667344131,魅族,MX3
2811638596230078157,小米,紅米note
5895467362946739173,三星,Galaxy Premier
-2015164870625937580,三星,Galaxy Note 3
-1212561962665758183,OPPO,Find 5
4135265634667060483,vivo,X3T
3897835842262557422,魅族,MX3
-6586353138247160095,小米,MI 2
-549778820100190784,小米,紅米note
1965780888984644639,小米,紅米Note3
1848523789697096019,小米,紅米note
7068903161759200801,小米,MI 3
9039546469458373626,vivo,S9
-3960945320043993027,vivo,S7I
-1703075732112237386,三星,Galaxy Note 2
-1630035972765737773,小米,MI 3
-6419595522622465854,vivo,X6 D
-9018246443478913868,三星,Galaxy Ace 2
5212093564292192175,三星,Galaxy S2 HD LTE E120S
-8943964576399834943,魅族,MX3
-473063370686494235,小米,MI 2S
-77470856795190138,三星,Galaxy Note 2
-7980117689705723887,華為,榮耀3C
-954970834442239631,華為,Ascend P6
-6705737572680864998,三星,Galaxy S4
5701620866743821861,華為,榮耀6
6260853395718018182,聯想,A3000-H
-53133328989290027,三星,Galaxy Note 3
3658830885050322341,vivo,Y17W
-7002624998133830704,三星,Galaxy Note 2
-3316112523087152146,三星,I9050
-5415487361730988388,vivo,Y17T
5699929136592398294,三星,Galaxy Trend DUOS
-7643539773458591695,HTC,One
-3024310781163929959,華為,G730-U00
-5344972461857711915,小米,MI 2S
6761957678448838937,三星,Galaxy Note 2
3812586173865101994,金立,X805
9095018699760076451,小米,MI 2S
-1280461839433921774,酷派,F2
-1270423752476320258,OPPO,Find 7
319358606834819637,華為,MT1-U06
7410674443469372987,OPPO,U705T
-7164678814230896548,優米,UIMI4
-8782992361301282691,聯想,VIBE Z
3306064521123288224,魅族,MX3
-796487256982520583,vivo,Y20T
5565458645200912216,小米,MI 2S
3495968421260619426,華為,X1 7.0
-290040646156334881,三星,Galaxy Note 3
-5657154192230825082,優米,3
8754065576289544028,金立,V185
6554173787787212793,OPPO,R831S
-150348349923541322,酷派,9976A
-3848105495725128477,三星,Galaxy Grand 2
-1144701071631415183,vivo,Y11IT
-8376439796210924495,三星,Galaxy Note 3
6530953132921212613,小米,紅米
-1143301917081542570,小米,MI 3
276455641935686845,金立,GN135
2129293986626915002,vivo,Xplay
4268333055645071754,小米,紅米
5524839187986389811,小米,MI 2S
4110551735503618236,小米,MI 3
-3069886997298060242,vivo,Xplay3S
8714702739851989931,金立,F301
-3431224859373952954,華為,G730-U00
-3941816237190969062,三星,Galaxy Trend 3
6338871308790283175,OPPO,R833T
2388159101852111011,華為,G730-L075
3731031439707010484,酷派,大神F1
-4918687521787971358,三星,Galaxy Note 3
2250098331394705324,小米,MI 2S
4449212235160054380,小米,紅米
-4156121506797521978,vivo,Y15
-7239633143742472761,三星,Galaxy Grand 2
4478244482490522011,OPPO,N1T
5644935418309487148,vivo,X3T
1643086037095087965,小米,紅米note
3936614217231883804,聯想,K860i
-159394439588364521,vivo,X3T
-8938994829367209622,華為,X1 7.0
-5560664435830989666,華為,榮耀6
-3002214098032063931,小米,MI 2S
6468271719757089818,索尼,Xperia Z
5347663850885232984,三星,Galaxy S3
3588458175289907956,魅族,MX3
-5616386202752351153,小米,紅米1S
8279624430479856326,中興,V955
-7445953743365025922,小米,MI 3
1651239652135654366,三星,Galaxy Note 2
-4109163024286574184,HTC,One
-8639416320315335224,小米,MI 3
-7017053097335443252,小米,MI 2S
-3023667181932764821,小米,MI One Plus
3498024925930022594,酷派,5891
-4639449115549285146,小米,紅米note
8856984144557122337,LOGO,M2
4064386113517598682,小米,MI 2S
-5371293987667698370,小米,紅米note
7042615523516756507,vivo,X3T
5801098581485623982,索尼,Xperia Z
8802247658835316864,小米,MI 3
638995909210571346,小米,MI 2S
-6936279587604602490,中興,星星1號
4529197261239100073,華為,榮耀3C
4221107476467974676,三星,Galaxy S3
-1379837059745495313,華為,MT2-C00
-9213524702237541289,三星,Galaxy Mega 5.8
7096223572967434171,vivo,X3T
-3764165812968193048,vivo,X3T
-2750954829449700459,華為,榮耀3C
-4242602230838789270,金立,E7
-3467938763247260796,三星,SCH-I939
160583077198552302,華為,榮耀3C暢玩版
-1938365211710149571,酷派,7295+
4726452618128667511,魅族,MX3
2609502786484091450,中興,795+
-8928696964311633372,vivo,X3T
-6113968741993508255,魅族,MX3
-2944967768859432992,小米,MI 3
5025374908569861649,酷派,大神F1
-6741456053235802722,HTC,G11
-1868884014377187671,華為,榮耀3C
-6013876179595797366,OPPO,R827T
3076865432545446566,小米,紅米
-3742146736573288233,華為,G610S
-4694667963291922444,聯想,A789
7078845169229824414,三星,Galaxy S4
-6233842042825363929,華為,Ascend P7
-2696491683874973028,小米,MI 2S
5564596875697673103,小米,MI 2S
7472667556404803426,小米,MI 2S
-979420055130966925,小米,MI 1S
-2066592557978246390,三星,Galaxy Note 3
5506203726475105422,聯想,A850
-2823030071365684879,華為,榮耀暢玩4
4356124957866782712,三星,I8268
-783461302665023321,小米,MI 3
-5104856548201158279,華為,榮耀U8860
1752192285595910480,華為,Ascend P6
7375530166026237221,華為,榮耀3C
1306591806614918068,小米,MI 2A
-1671868823781973368,三星,Galaxy Note 3
1572281941052134331,vivo,Xplay
-7963618505599710479,天語,Touch 3
7219653354790271943,魅族,MX2
-3070462361959213269,vivo,Y11IT
-8146330484087107582,vivo,Y11IT
-6313145876363269845,三星,Galaxy S4
-5296418300896797838,華為,Mate 2
-6394392743718556244,聯想,A708t
-7892887279057220812,小米,MI 2A
4736021965623886631,酷派,大神F1
7869822025744000236,小米,MI 2S
-969155715835117480,小米,MI 2S
6044989705027419768,華為,榮耀3C
3517188103831503647,小米,紅米note
7503233841297522433,小米,MI 2A
6897893227103287488,vivo,Y17T
-7356221032169648606,索尼,Xperia Z
-5211724826779215413,華為,Ascend P6
-6043037161109492419,小米,紅米
-4826068017221527192,索尼,Xperia Z
5808546906299880563,OPPO,R827T
5649996622191783051,三星,Galaxy Tab 3 8.0
2535730800043148122,三星,I9118
2730826413699767878,小米,MI 2S
7368616358980385020,金立,V185
-634470695781227967,小米,MI 2S
418842915880891555,華為,U9508
502069315094242840,華為,G520-5000
-4498499266114921640,三星,Galaxy Note 3
-2248571292157036356,朵唯,S3
-6778503428985889540,小米,紅米
-7278602209583096682,金立,X805
-3509579470080743856,華為,榮耀3X
2739970907848684357,小米,MI 2S
-8623393108811295226,三星,Galaxy Grand 2
-7614732924480875080,OPPO,R7
-8099888953694075130,華為,G610S
-5415797440191007260,小米,紅米
-8778377568202279186,華為,榮耀3C
-5018337418310747263,三星,Galaxy Note 3
-58818459434431223,三星,Galaxy S4
-6369379500925091078,華為,榮耀6
3818136434218093808,華為,榮耀3C
5457055855116989922,三星,Galaxy Note 3
6128487330610611350,小米,紅米
4235872286583847480,酷派,春雷HD
2842957504417113295,三星,Galaxy Note 2
-2313846161543312283,小米,MI 2S
-3412846036960823413,三星,Galaxy Note 2
-4063689774395610829,努比亞,Z5S
4054027913642812540,三星,Galaxy Note 3
3086966649713798078,OPPO,Find 5
-5407783099133524921,三星,Galaxy Mega 6.3
-7983114347545593429,魅族,MX3
-3911394669979269078,華為,U9508
7677101971426466513,酷派,7295
-1973971742920662058,華為,C8813
-8712031044544505519,小米,MI 1S
7643312853957403534,三星,Galaxy Note 3
-7612851865363590715,三星,Galaxy S4
2923374417462588035,華為,X1 7.0
5434255898176054557,中興,U956
-8275239824093736814,小米,MI 1S
-7737825269886520934,HTC,802w
-460743165186589529,索尼,Xperia P
-3477972255918812038,三星,Galaxy Note 2
-6740891116826665312,三星,Galaxy Grand
5198261057220646225,OPPO,R3
-3214367734669529272,小米,MI 2S
3952905072530994196,小米,MI 1S
440317153601571015,小米,紅米
4327379835899952830,三星,Galaxy S Advance
-4084668009903713543,小米,MI 1S
1994646535713877912,小米,MI 2S
5468023773374064992,華為,榮耀6
2025924027387799924,華為,榮耀3C
-4797027187298659565,華為,Ascend P6
2824583015876316799,三星,Galaxy S3
-172955623043920101,小米,MI 2
-7801957586514858844,小米,紅米3
-5712332827244046421,華為,HN3-U01
-8861295721105737450,vivo,X3T
6948609500853592665,小米,紅米1S
-2789607533960318746,HTC,One X
-4204742700522101711,三星,Galaxy Trend 3
-7237377197889041248,小米,MI 3
-8767577656847695350,三星,Galaxy Note 3
-5518842978165649229,OPPO,Find 5
-9093957631279869469,小米,紅米
-8957130211871661109,華為,Y600-U00
-2432461420063965881,華為,G620-L75
-7819064379153223225,聯想,A850
7468384418527116566,海信,M10-M
3157011921421466467,華為,榮耀3C
-5781208684332504365,小米,紅米1S
-6787020736107381331,小米,紅米note
-3864680059727045704,三星,Galaxy S4
-5737753713975445487,黑米,A1
3691762732518833899,三星,Galaxy Note 3
1084036673639209952,TCL,S720
-2085125955850408481,三星,Galaxy S4
3809797356928120087,小米,MI 2S
5927270885554882227,三星,Galaxy Win Pro
8011362894930511077,小米,MI 2S
-1485346374644095466,OPPO,R809T
6690931827048339757,三星,Galaxy S4
-6018874273046295275,OPPO,Find 7
-8883185524578375509,三星,Galaxy S3
867574394517328518,小米,紅米
-7315949894488329699,三星,Galaxy Win
4743813508458930653,小米,MI 3
3772851842051402160,小米,MI 2
-5322577327270229998,小米,MI 2S
-2769274245365845363,華為,Ascend P7
-4288353176386747858,小米,紅米
-903893295538850720,華為,G520-T10
8828027763499858688,華為,Mate 2
8650803071674410282,小米,MI 3
-2491460808590041819,華為,榮耀6
6327004567252588764,努比亞,Z9 mini
-6619651295102645673,小米,紅米1S
719166838664858135,小米,紅米1S
-3752627150889581601,華為,榮耀3X暢玩版
3084026167491118422,華為,榮耀3C
-1649173611732796011,華為,Ascend G6
-5306599617183585135,小米,MI 1S
1377991342184882770,vivo,X3T
-8448590394900141907,小米,MI 2S
-2139855922518366616,聯想,A378t
-7503735396346540330,三星,Galaxy Mega Plus
-8345274263736281074,天語,Touch 2
568609506280558914,優米,3
7756294367782525584,魅族,MX2
5675916677227461888,小米,紅米note
8945020001948770147,歐博信,IVO 6600
674800485477172603,三星,Galaxy Ace
-5337450843032657373,聯想,S880i
7929293282274193958,華為,榮耀3X
1969930927924885038,小米,MI 2S
-8702603301247888052,索尼,Xperia C3
7937907250389987574,華為,Y635-TL00
-6278068860089135361,華為,榮耀6
6976440301978382456,華為,Y600-U00
1892468965560139037,華為,榮耀3C
-7278706289242723763,小米,紅米
2289608156050948697,小米,MI 2S
-5598320326073454024,OPPO,R1S
-3532982159223273696,三星,Galaxy Note 3
-4758763268239164813,小米,MI 3
-1622561733905307490,三星,Galaxy Mega 5.8
-9029921488149341044,小米,MI 3
-3194616365884432233,小米,MI 3
4196066886244994506,聯想,A708t
-3960627137019309038,酷派,8720L
-5187032019902800334,三星,G3818
5126399820483673486,魅族,MX2
7773809107520762776,vivo,Y11
6316499693080704607,聯想,S890
-1705211627061884784,三星,Galaxy S4
6546936938959276821,華為,G610T
-6470395078345429158,小米,紅米1S
-4290099277020938582,酷派,7231
5986781953195135699,小米,MI 2S
-7641417822635664174,華為,榮耀6
7121228356998923571,小米,MI 2S
7499250711512880299,三星,Galaxy S3
-7499100151848498652,三星,Galaxy Note
-1098498024824360886,vivo,X5Pro
-7079447947030982542,酷派,7620l
1831817139899303279,OPPO,R821T
2494442634817784769,小米,MI 3
1273496238381801739,華為,Ascend P6
5146983308060191289,酷派,大神F1
3685860997153018662,酷派,7270
-8029327144157066082,三星,Galaxy S4
5454698449165541907,三星,Galaxy Premier
-8069526722268898349,三星,Galaxy S3
-4156403346130050221,小米,紅米1S
2720748512922161900,vivo,X1
1644345394563154902,小米,紅米note
-2631090862141844868,OPPO,U705T
2701896657421569606,OPPO,R2017
3827762013702083604,小米,紅米1S
-2664335209402333266,OPPO,Find 7
-196497377250186833,vivo,Y17W
-3982744171033531201,聯想,A889
-5047657330169981851,三星,Galaxy Note 3
4280863746627493578,三星,Galaxy Note 3
-4872405491166992357,小米,MI 2S
-1011098932577010890,努比亞,Z5S Mini
2150828309009071002,HTC,Desire 816
-388664968156520948,華為,榮耀暢玩4
2671708119144790079,三星,Galaxy Grand 2
-8845591145979072709,小米,紅米note
8135971920953576391,華為,Ascend P6
5876399266858486942,小米,紅米1S
-5952296822237570170,三星,Galaxy Note 3
-1965994797113280876,三星,Galaxy Note 3
3217346292151516316,華為,榮耀3C
7515159941624534067,中興,U807
6294609893924586546,中興,Grand Memo 2
-8215923860410295973,三星,Galaxy S2 HD LTE E120S
-7827359324943034732,海信,U980
-5988391352155128246,三星,Galaxy Grand
352154604761689066,OPPO,R831S
-5830859894519504090,天語,Touch 2
712474267488913717,TCL,S720
182608333165771600,小米,紅米
-4297959145812123061,華為,榮耀6
2766517295748993169,OPPO,R2017
-3974788062025040634,HTC,One
518791288718726583,小米,MI 2S
-1141742600005096677,華為,U9508
5538433336328028719,小米,MI 2S
3070846451889915465,華為,榮耀3C
7170043233825069996,三星,Galaxy S3
-4401760730293002977,小米,MI 3
-6529369237168401982,酷派,5951
6788214305092530469,三星,Galaxy Note 3
7404616947432711442,華為,榮耀3X
3345796640118737922,小米,紅米
4445197977526298765,酷派,大神F1
8733308360867014113,三星,Galaxy S4
-8869245295280697627,華為,G610T
-7361304653611844619,三星,Galaxy Note 3 Lite
-6172283449869188524,三星,Galaxy S3
5906086384670958868,聯想,A670t
3292465402515504043,華為,榮耀3X暢玩版
1403904510048154702,聯想,A788t
-4434591576012966834,三星,Galaxy S3
8934485200367434517,三星,Galaxy Trend DUOS
7602675074380111955,華為,榮耀3C
5938296352821930331,小米,紅米2
-2168009681997135088,三星,Galaxy Mega 6.3
5460475200473896904,三星,Galaxy S3
-856205156697792217,三星,Galaxy Note 2
9019672507061571530,小米,MI 2A
1513018598827279519,小米,紅米1S
2594485304802449230,酷派,大神F1
521542743333556922,魅族,MX2
-7460095123874996191,小米,紅米1S
1036100338929020211,小米,MI 3
-7417791228562869462,三星,Galaxy Note 2
6682240152324388665,三星,Galaxy Grand 2
-2453658892011387282,三星,Galaxy S4
1888648311934882579,三星,Galaxy S3
-9107316845456045495,vivo,Y11IT
-2689393091369003408,華為,榮耀3X暢玩版
5867012969406924556,OPPO,R1S
-1467231563342102938,聯想,P780
-5115628456682712558,三星,Galaxy S4
-7932826087705968179,小米,MI 2S
-1321532437741154954,小米,紅米1S
-2016232672180035619,魅族,MX3
-8542036072008885558,錘子,T1
-6352692155487628723,小米,MI 3
9158484037335254727,三星,Galaxy Trend 3
-8098446539410501910,小米,MI 2S
-9210154487981880565,小米,紅米1S
-8448532635820313740,聯想,s820e
-7049306691903186100,小米,紅米1S
-6075909792099692352,華為,榮耀3X暢玩版
7869462012038430951,三星,N910C
1794950025588957245,vivo,Xplay
-1819910685406241312,酷派,8089
425932513224863950,魅族,MX2
-6778576649897447510,華為,榮耀+
5804033070117385536,三星,Galaxy S3
1830264951327087885,小米,紅米1S
128279650527632458,華為,榮耀6
537482085590567813,酷派,大神F1
-8559815701080540470,小米,紅米
3244439560122596299,愛派爾,iPh-800
-5578644685598022367,vivo,Y27
-991025397290137474,小米,MI 3
-4338033198765387707,小米,紅米1S
2986298213694306088,三星,Galaxy S4
1450377923294925963,小米,MI 3
2062846507241191641,聯想,A788t
3808747726168214598,小米,MI 2S
131599512268933843,小米,MI 2S
-1164654477511409238,OPPO,R831S
5502656064987164930,三星,Galaxy S4
-5459426141238293484,中興,紅牛V5
231790992187709815,OPPO,R1S
-3959717461494740825,酷派,大神F1
5231118490094602913,HTC,One
-1084908569832013005,聯想,S868t
2018986896917328169,vivo,Y11
8236229665662948732,三星,Galaxy Core 4G
439499907236844481,三星,Galaxy Grand 2
-3356784421890773574,小米,紅米
-5841527139386518251,華為,X1 7.0
-8426834882589918052,華為,榮耀6
-6363588379650142907,小米,紅米note
664543869005531814,小米,紅米note
-1874169016543442740,華為,G610T
-1418922923747261712,小米,MI 2S
-3007290059075922008,小米,MI 2S
-822082126388488795,三星,Galaxy Note 3 Lite
8109613486318549660,OPPO,Find 7
6901717289584452918,小米,紅米1S
-5833812227830547462,小米,MI 2S
-3686684218519517300,三星,Galaxy Note 3 Lite
3302330732785937692,華為,Ascend G7
-6727640168051415776,三星,Galaxy S5
-6957350579117975931,三星,Galaxy S3
